#latitude	longitude	dummy
67.31266	-158.477936	1
67.100495	-151.062414	1
66.846459	-162.126493	1
65.826591	-144.0625	1
65.5652	-144.7035	1
64.95934	-147.61728	0
64.95934	-147.61728	0
64.863674	-147.759408	0
64.8587	-147.9158	0
64.8587	-147.9158	0
64.8587	-147.9158	0
64.844195	-147.710173	0
64.839535	-147.836416	0
64.83456	-147.8126	0
64.832366	-147.518022	0
64.818108	-147.679301	0
64.815342	-147.914112	0
64.80552	-147.5719	0
64.80552	-147.5719	0
64.80552	-147.5719	0
64.7756	-147.3716	0
64.756467	-147.349335	0
64.6551	-148.97006	0
64.54	-149.0912	0
64.505775	-165.310667	0
64.0731	-141.9357	0
64.052063	-145.737538	0
63.984141	-145.550044	0
63.9736	-145.5175	0
63.9736	-145.5175	0
63.95138	-145.76678	0
63.94292	-145.77092	0
63.871579	-148.999469	0
63.871579	-148.999469	0
63.843157	-149.044253	0
63.7219	-149.2659	0
63.71262	-148.9564	0
63.689995	-145.890931	0
63.66548	-149.57297	0
63.5295	-142.2239	0
63.5295	-142.2239	0
63.5295	-142.2239	0
63.5295	-142.2239	0
63.516075	-149.539532	0
63.516075	-149.539532	0
63.333143	-142.950946	0
63.311745	-143.025379	0
63.28328	-143.02112	0
63.20144925	-150.836792	0
63.20144925	-150.836792	0
63.20144925	-150.836792	0
62.6468	-143.3553	0
62.3232	-150.11296	0
62.16742	-145.45812	0
62.1566	-145.7216	0
62.1566	-145.7216	0
62.1566	-145.7216	0
62.1566	-145.7216	0
62.1566	-145.7216	0
62.08658	-146.352073	0
62.0156	-144.7688	0
61.939195	-147.167459	0
61.7113	-148.8941	0
61.701	-150.0183	0
61.6565	-148.8218	0
61.6565	-148.8218	0
61.6302	-149.818	0
61.61376	-149.24206	0
61.5985	-149.1226	0
61.5985	-149.1226	0
61.5985	-149.1226	0
61.57396	-149.72132	0
61.57396	-149.72132	0
61.5656	-149.5673	0
61.5656	-149.5673	0
61.5656	-149.5673	0
61.55414	-149.81298	0
61.55244	-149.81878	0
61.311237	-149.573081	0
61.222107	-149.8687	0
61.218	-149.9002	0
61.211263	-149.733684	0
61.209563	-149.804014	0
61.20944371	-149.2932129	0
61.20944371	-149.2932129	0
61.20944371	-149.2932129	0
61.201006	-149.870684	0
61.19616	-149.872784	0
61.14945	-149.94	0
61.131501	-146.36802	0
61.128436	-146.349033	0
61.125865	-146.348644	0
61.12334	-146.33814	0
61.11876	-146.25504	0
61.0459	-146.654	0
61.0459	-146.654	0
61.0459	-146.654	0
60.928955	-149.662354	0
60.88361	-141.18361	0
60.790771	-148.900391	0
60.787842	-148.883057	0
60.772835	-148.682434	0
60.772835	-148.682434	0
60.772835	-148.682434	0
60.721191	-149.289307	0
60.664795	-149.486084	0
60.655479	-153.48999	0
60.6377	-151.177	0
60.6377	-151.177	0
60.55376	-151.26234	0
60.537567	-150.765701	0
60.51702	-150.89086	0
60.51702	-150.89086	0
60.51702	-150.89086	0
60.51584	-151.1205	0
60.49292	-149.703857	0
60.486456	-151.09419	0
60.486413	-151.094741	0
60.48364	-151.06556	0
60.483154	-149.881836	0
60.4809	-151.039	0
60.4809	-151.039	0
60.4809	-151.039	0
60.477701	-151.079505	0
60.47156	-150.97586	0
60.415039	-149.310547	0
60.415039	-149.310547	0
60.412598	-149.381836	0
60.340332	-149.371094	0
60.1459	-149.4178	0
60.1414	-149.4147	0
60.1409	-151.2868	0
60.114887	-149.441645	0
60.08536	-149.44374	0
59.851357	-150.086319	0
59.7903	-151.7234	0
59.67883524	-151.4163208	0
59.642009	-151.553786	0
59.641726	-151.547299	0
59.641194	-151.547474	0
59.641194	-151.547474	0
59.641194	-151.547474	0
59.641194	-151.547474	0
59.641194	-151.547517	0
59.640563	-151.548785	0
59.640563	-151.548886	0
59.640563	-151.548886	0
59.640563	-151.548886	0
59.640563	-151.548886	0
59.640563	-151.548886	0
59.638957	-151.501864	0
59.50875	-135.35062	0
59.4761	-135.305	0
59.4593	-135.3054	0
59.458	-135.3078	0
59.41439	-135.931239	0
59.28321	-135.472369	0
59.237869	-135.456686	0
59.228194	-135.438188	0
59.15481135	-135.3543091	0
58.695507	-136.818146	0
58.501186	-154.955963	0
58.410889	-134.581055	0
58.410889	-134.581055	0
58.389096	-134.649191	0
58.378662	-134.728027	0
57.78994	-152.406418	0
57.78932	-152.40656	0
57.78818	-152.40954	0
57.132568	-135.366943	0
56.811	-132.9484	0
56.792459	-132.982018	0
56.57959	-132.741455	0
56.29930089	-132.3480034	0
55.705566	-132.843262	0
55.46202003	-132.7378464	0
55.44458	-131.684326	0
55.420166	-131.707275	0
55.420166	-131.707275	0
55.342415	-131.646347	0
51.916664	11.5	0
51.5	7	0
50.98	5.05	0
50.98	5.05	0
50.98	5.05	0
50.98	5.05	0
48.999802	-123.04059	0
48.99966	-121.06528	0
48.99598755	-116.1728668	0
48.99283384	-115.1477051	0
48.98652581	-117.7761841	0
48.984765	-123.078166	0
48.97661158	-115.1312256	0
48.96669539	-116.2099457	0
48.96399062	-115.4937744	0
48.957448	-122.418988	0
48.9376961	-114.3470335	0
48.935265	-122.74809	0
48.92520627	-119.7008514	0
48.925	-119.383	0
48.918896	-122.744586	0
48.9170848	-121.5705872	0
48.910142	-122.748808	0
48.90986461	-115.2383423	0
48.90986461	-118.1455994	0
48.90896201	-121.9221497	0
48.906763	-122.752362	0
48.9038	-95.3492	0
